一	〔一一｜yiaa〕
芫	〔艹儿｜yjce・yrce〕
芜	〔艹无｜wucw〕
苇	〔艹韦｜wwcw〕
邯	〔甘阝｜hjge〕
芸	〔艹厶｜yycs〕
芾	〔艹丨｜fucl・fwcl〕
芰	〔艹又｜jicy〕
苈	〔艹力｜licl〕
苊	〔艹フ｜eecv〕
苣	〔艹巨｜qucj・jucj〕
芽	〔艹牙｜yacy〕
芷	〔艹止｜vicv〕
芮	〔艹内｜rvcn〕
苋	〔艹见下｜xmce〕
芼	〔艹毛｜mccm〕
苌	〔艹长｜ihci〕
花	〔艹匕｜hxcb〕
芹	〔艹斤｜qbcj〕
芥	〔艹丨｜jpcl〕
苁	〔艹人｜cscr〕
芩	〔艹フ｜qbcv〕
芬	〔艹刀｜ffcd〕
苍	〔艹フ｜chcv〕
芪	〔艹氏｜qicu〕
芴	〔艹勿｜hucw・wucw〕
芡	〔艹人｜qmcr〕
芟	〔艹又｜ujcy〕
苄	〔艹卞biàn｜bmcb〕
芳	〔艹方｜fhcf〕
严	〔亚ノ｜yjyp〕
苎	〔艹一｜vuca〕
芦	〔艹户｜luch〕
芯	〔艹心｜xbcx〕
劳	〔艹力｜lccl〕
克	〔十儿｜keue〕
芭	〔艹巴｜bacb〕
苏	〔艹办｜sucb〕
苡	〔艹人｜yicr〕
杆	〔木干｜gjmg〕
杜	〔木土｜dumt〕
杠	〔木工｜ghmg〕
材	〔木才｜cdmc〕
村	〔木寸｜cymc〕
杖	〔木丈｜vhmv〕
杌	〔木兀｜wumw〕
杏	〔木口｜xkmk〕
杉	〔木ノ｜ujmp・uamp〕
巫	〔工人｜wugr〕
杓	〔木勺｜bnmu・ucmu〕
极	〔木及｜jimj〕
杧	〔木亡｜mhmw〕
杞	〔木己｜qimj〕
李	〔木子｜limz〕
杨	〔木ノ｜yhmp〕
杈	〔木叉｜iami〕
求	〔一丶｜qqad〕
忑	〔下心｜texx〕
孛	〔十子｜bouz・bwuz〕
甫	〔一丶｜fuad〕
匣	〔匚甲｜xxkj〕
更	〔一ㄟ｜ggan〕
束	〔一ㄟ｜uuan〕
吾	〔五口｜wuwk〕
豆	〔一一｜dzaa〕
两	〔一丶｜llad〕
邴	〔丙阝｜bkbe〕
酉	〔西一｜yzxa〕
丽	〔一丶｜liad〕
医	〔匚矢｜yiku〕
辰	〔厂ㄟ｜ifin〕
励	〔厂力｜liil〕
邳	〔丕pī阝｜pipe〕
否	〔不口｜fzbk・pibk〕
还	〔辶不｜hdzb・hrzb〕
矶	〔石几｜jiuj〕
奁	〔大乂｜lmdx〕
豕	〔一ㄟ｜uian〕
尬	〔尢丨｜gayl〕
歼	〔歹千｜jmdq〕
来	〔一ㄟ｜ldan〕
忒	〔弋心｜teyx・tvyx〕
连	〔辶车｜lmzi〕
欤	〔与人｜yuyr〕
轩	〔车干｜xrig〕
轪	〔车大｜ddid〕
轫	〔车刃｜rfir〕
迓	〔辶牙｜yazy〕
邶	〔丨阝｜bwle〕
忐	〔上心｜tjux〕
芈	〔丨丨｜mill〕
步	〔止ノ｜buvp〕
卤	〔丨乂｜lulx〕
卣	〔丨一｜yzla〕
邺	〔业阝｜yeye〕
坚	〔丨土｜jmlt〕
肖	〔月｜xnxo〕
旰	〔日干｜hjog・gjog〕
旱	〔日干｜hjog〕
盯	〔目丁｜dkod〕
呈	〔口王｜igkw〕
时	〔日寸｜uioc〕
吴	〔口天｜wukt〕
呋	〔口夫｜fukf〕
助	〔且力｜vuql〕
县	〔且厶｜xmqs〕
里	〔丨一｜lila〕
呓	〔口フ｜yikv〕
呆	〔口木｜ddkm〕
吱	〔口又｜viky・ziky〕
吠	〔口犬｜fwkq〕
呔	〔口太｜ddkt・tdkt〕
呕	〔口乂｜oukx〕
园	〔囗儿｜yrke〕
呖	〔口力｜likl〕
呃	〔口フ｜eekv〕
旷	〔日广｜klog〕
围	〔囗韦｜wwkw〕
呀	〔口牙｜yaky〕
吨	〔口屯｜dykt〕
旸	〔日ノ｜yhop〕
吡	〔口匕｜bikb・pikb〕
町	〔田丁｜dktd・tktd〕
足	〔口人｜zukr〕
虬	〔虫フ｜qqiv〕
邮	〔由阝｜yzye〕
男	〔田力｜njtl〕
困	〔囗木｜kykm〕
吵	〔口少｜icku〕
串	〔丨丨｜irll〕
呙	〔口内｜gokn・gxkn・hekn・wakn・wdkn・wokn〕
呐	〔口内｜nakn・nekn〕
呗	〔口人｜bdkr・bwkr〕
员	〔口人｜yykr・yrkr〕
听	〔口斤｜tkkj〕
吟	〔口フ｜ybkv〕
吩	〔口刀｜ffkd〕
呛	〔口フ｜qlkv〕
吻	〔口勿｜wfkw〕
吹	〔口人｜ivkr〕
呜	〔口乌｜wukw〕
吭	〔口几｜hhkj・kgkj〕
吣	〔口心｜qbkx〕
吲	〔口丨｜ybkl〕
吼	〔口フ｜hzkv〕
邑	〔口巴｜yikb〕
吧	〔口巴｜bakb〕
囤	〔囗屯｜dykt・tykt〕
别	〔口刂｜bpkd〕
吮	〔口儿｜uyke〕
岍	〔山开｜qmek〕
帏	〔巾韦｜wwjw〕
岐	〔山又｜qiey〕
岖	〔山乂｜quex〕
岈	〔山牙｜yaey〕
岗	〔山乂｜ghex〕
岘	〔山见下｜xmee〕
帐	〔巾长｜vhji〕
岑	〔山フ｜cfev〕
岚	〔山乂｜ljex〕
兕	〔凹儿｜siae〕
财	〔冂才｜cdkc〕
囵	〔囗匕｜lykb〕
囫	〔囗勿｜hukw〕
钉	〔钅丁｜dkjd〕
针	〔钅十｜vfju〕
钊	〔钅刂｜vcjd〕
钋	〔钅卜｜pojb〕
钌	〔钅了｜lnjl〕
迕	〔辶午｜wuzw〕
氙	〔气山｜xmqe〕
氚	〔气川｜irqi〕
牡	〔牛土｜munt〕
告	〔口｜gcnk〕
我	〔ノ丶｜wopd〕
乱	〔千フ｜lrqv〕
利	〔禾刂｜lihd〕
秃	〔禾几｜tuhj〕
秀	〔禾乃｜xqhn〕
私	〔禾厶｜sihs〕
岙	〔夭山｜aoye〕
每	〔ノ母｜mwpm〕
佞	〔亻女｜nkrn〕
兵	〔丘八｜bkqb〕
邱	〔丘阝｜qqqe〕
估	〔亻口｜gurk〕
体	〔亻本｜tirb〕
何	〔亻口｜herk〕
佐	〔亻工｜zorg〕
伾	〔亻丕pī｜pirp〕
佑	〔亻口｜yzrk〕
攸	〔亻攵｜yzrw〕
但	〔亻一｜djra〕
伸	〔亻申｜ufru〕
佃	〔亻田｜dmrt・tmrt〕
佚	〔亻失｜yiru・dpru〕
作	〔亻乍｜zorv〕
伯	〔亻白｜bdrb・borb〕
伶	〔亻｜lkrs〕
佣	〔亻用｜ysry〕
低	〔亻氐｜dird〕
你	〔亻小｜nirx〕
佝	〔亻口｜gzrk〕
佟	〔亻丶｜tsrd〕
住	〔亻主｜vurv〕
位	〔亻立｜wwrl〕
伴	〔亻半｜bjrb〕
佗	〔亻匕｜torb〕
身	〔ノノ｜ufpp〕
皂	〔白七｜zcbq〕
伺	〔亻口｜cirk・sirk〕
佛	〔亻弗｜forf・furf〕
伽	〔亻口｜gark・jxrk・qprk〕
囱	〔ノ夂｜cspw〕
近	〔辶斤｜jbzj〕
彻	〔彳chì刀｜ieid〕
役	〔彳chì又｜yiiy〕
彷	〔彳chì方｜phif・fhif〕
返	〔辶又｜fjzy〕
余	〔人余下｜yurh〕
希	〔乂巾｜xixj〕
佥	〔人一｜qmra〕
坐	〔人土｜zort〕
谷	〔八口｜gubk〕
孚	〔ノ子｜fupz〕
妥	〔ノ女｜topn〕
豸	〔ノノ｜vipp〕
含	〔人口｜hjrk〕
邻	〔人阝｜lbre〕
坌	〔八土｜bfbt〕
岔	〔八山｜iabe〕
肝	〔月干｜gjog〕
肟	〔月亏｜wook〕
肛	〔月工｜ghog〕
肚	〔月土｜duot〕
肘	〔月寸｜vzoc〕
肠	〔月ノ｜ihop〕
邸	〔氐阝｜dide〕
龟	〔フ｜qqdv・jydv・gvdv〕
甸	〔勹田｜dmbt〕
奂	〔大｜hrdd〕
免	〔フ｜mmdv〕
劬	〔勹力｜qubl〕
狂	〔犭王｜klqw〕
犹	〔犭尤｜yzqy〕
狈	〔犭人｜bwqr〕
狄	〔犭火｜diqh〕
角	〔用｜jndy・jtdy〕
删	〔册刂｜ujcd〕
狃	〔犭丑｜nqqi〕
狁	〔犭儿｜yyqe〕
鸠	〔九鸟｜jqjn〕
条	〔夂朩｜tnwm〕
彤	〔丹ノ｜tsdp〕
卵	〔ノ丶｜lrpd〕
灸	〔久火｜jqjh〕
岛	〔ノ山｜dcpe〕
邹	〔阝｜zzde〕
刨	〔勹刂｜bcbd・pcbd〕
饨	〔饣屯｜tyut〕
迎	〔辶卩｜ykze〕
饩	〔饣气｜xiuq〕
饪	〔饣壬｜rfur〕
饫	〔饣夭｜yuuy〕
饬	〔饣力｜iiul〕
饭	〔饣又｜fjuy〕
饮	〔饣人｜ybur〕
系	〔ノ小｜jipx・xipx〕
言	〔亠口｜yjwk〕
冻	〔冫东｜dsdd〕
状	〔冫犬｜vldq〕
亩	〔亠田｜muwt〕
况	〔冫儿｜klde〕
亨	〔亠了｜hgwl〕
庑	〔广无｜wugw〕
床	〔广木｜ilgm〕
庋	〔广又｜gvgy〕
库	〔广车｜kugi〕
庇	〔广匕｜bigb〕
疔	〔疒丁｜dkbd〕
疖	〔疒卩｜jpbe〕
疗	〔疒了｜lnbl〕
吝	〔文口｜lbwk〕
应	〔广一｜ykga〕
冷	〔冫｜lgds〕
这	〔辶文｜vezw・vwzw〕
庐	〔广户｜lugh〕
序	〔广丨｜xugl〕
辛	〔立十｜xblu〕
肓	〔亡月｜hlwo〕
弃	〔亠廾｜qiwc〕
冶	〔冫口｜yedk〕
忘	〔亡心｜whwx〕
闰	〔门王｜rymw〕
闱	〔门韦｜wwmw〕
闲	〔门木｜xmmm〕
闳	〔门厶｜hsms〕
间	〔门日｜jmmo〕
闵	〔门文｜mbmw〕
闶	〔门几｜khmj〕
闷	〔门心｜mfmx〕
羌	〔フ｜qlyv〕
判	〔半刂｜pjbd〕
兑	〔丷儿｜dvbe〕
灶	〔火土｜zcht〕
灿	〔火山｜cjhe〕
灼	〔火勺｜vohu〕
炀	〔火ノ｜yhhp〕
弟	〔丷ノ｜dibp〕
沣	〔氵丰｜fgdf〕
汪	〔氵王｜whdw〕
沅	〔氵儿｜yrde〕
沄	〔氵厶｜yyds〕
沐	〔氵木｜mudm〕
沛	〔氵丨｜pwdl〕
沔	〔氵丏miǎn｜mmdm〕
汰	〔氵太｜tddt〕
沤	〔氵乂｜oudx〕
沥	〔氵力｜lidl〕
沌	〔氵屯｜dydt・vrdt〕
沘	〔氵匕｜bidb〕
沏	〔氵刀｜qidd〕
沚	〔氵止｜vidv〕
沙	〔氵少｜uadu〕
汩	〔氵曰｜gudo・yudo〕
汨	〔氵日｜mido〕
汭	〔氵内｜rvdn〕
汽	〔氵气｜qidq〕
沃	〔氵夭｜wody〕
沂	〔氵斤｜yidj〕
沦	〔氵匕｜lydb〕
汹	〔氵凵｜xsdk〕
汾	〔氵刀｜ffdd〕
泛	〔氵乏｜fjdf〕
沧	〔氵フ｜chdv〕
沨	〔氵乂｜fgdx〕
沟	〔氵厶｜gzds〕
没	〔氵又｜mwdy・mody〕
汴	〔氵卞biàn｜bmdb〕
沆	〔氵几｜hhdj〕
沩	〔氵为｜wwdw〕
沪	〔氵户｜hudh〕
沈	〔氵フ｜ufdv〕
沉	〔氵几｜ifdj〕
沁	〔氵心｜qbdx〕
泐	〔氵力｜ledl〕
怃	〔忄无｜wuxw〕
忮	〔忄又｜vixy〕
怀	〔忄不｜hkxb〕
怄	〔忄乂｜ouxx〕
忧	〔忄尤｜yzxy〕
忡	〔忄中｜isxv〕
忤	〔忄午｜wuxw〕
忾	〔忄气｜kdxq・xixq〕
怅	〔忄长｜ihxi〕
忻	〔忄斤｜xbxj〕
忪	〔忄厶｜ssxs・vsxs〕
怆	〔忄フ｜ilxv〕
忭	〔忄卞biàn｜bmxb〕
忱	〔忄フ｜ifxv〕
快	〔忄夬guài｜kkxg〕
忸	〔忄丑｜nqxi〕
完	〔宀儿｜wjbe〕
宋	〔宀木｜ssbm〕
宏	〔宀厶｜hsbs〕
牢	〔宀牛｜lcbn〕
究	〔宀九｜jqbj〕
穷	〔宀力｜qsbl〕
灾	〔宀火｜zdbh〕
良	〔丶艮｜lldg〕
证	〔讠正｜vgyv〕
诂	〔讠口｜guyk〕
诃	〔讠口｜heyk〕
启	〔户口｜qihk〕
评	〔讠平｜pkyp〕
补	〔衤卜｜bupb〕
初	〔衤刀｜iupd〕
社	〔礻土｜uept〕
祀	〔礻巳sì｜sips〕
祃	〔礻马｜mapm〕
诅	〔讠且｜zuyq〕
识	〔讠八｜uiyb・viyb〕
诈	〔讠乍｜vayv〕
诉	〔讠斥｜suyi〕
罕	〔冖干｜hjbg〕
诊	〔讠ノ｜vfyp〕
诋	〔讠氐｜diyd〕
诌	〔讠彐｜vzye〕
词	〔讠口｜ciyk〕
诎	〔讠出｜quyi〕
诏	〔讠口｜vcyk〕
诐	〔讠又｜biyy〕
译	〔讠丨｜yiyl〕
诒	〔讠口｜ddyk・yiyk〕
君	〔尹口｜jyyk〕
灵	〔彐火｜lkeh〕
即	〔即左卩｜jige〕
层	〔尸厶｜cgus〕
屁	〔尸匕｜piub〕
屃	〔尸人｜xiur〕
尿	〔尸水｜nnuu・svuu〕
尾	〔尸毛｜wwum・yium〕
迟	〔辶尺｜iizi〕
局	〔尸口｜juuk〕
改	〔己攵｜gdjw〕
张	〔弓长｜vhgi〕
忌	〔己心｜jijx〕
际	〔阝小｜jiex〕
陆	〔阝击｜lqej・luej〕
阿	〔阝口｜aaek・eeek〕
孜	〔子攵｜zizw〕
陇	〔阝龙｜lsel〕
陈	〔阝东｜ifed〕
阽	〔阝口｜dmek〕
阻	〔阝且｜zueq〕
阼	〔阝乍｜zoev〕
附	〔阝寸｜fuec〕
坠	〔阝土｜vvet〕
陀	〔阝匕｜toeb〕
陂	〔阝又｜bwey・piey・poey〕
陉	〔阝工｜xkeg〕
妍	〔女开｜yjnk〕
妩	〔女无｜wunw〕
妓	〔女又｜jiny〕
妪	〔女乂｜yunx〕
妣	〔女匕｜binb〕
妙	〔女少｜mnnu〕
妊	〔女壬｜rfnr〕
妖	〔女夭｜ycny〕
妗	〔女フ｜jbnv〕
姊	〔女ノ｜zinp〕
妨	〔女方｜fhnf〕
妫	〔女为｜gvnw〕
妒	〔女户｜dunh〕
妞	〔女丑｜nqni〕
姒	〔女人｜sinr〕
妤	〔女丨｜yunl〕
努	〔女力｜nunl〕
邵	〔刀阝｜ucde〕
劭	〔刀力｜ucdl〕
忍	〔刃心｜rfrx〕
刭	〔フ刂｜jkvd〕
劲	〔フ力｜jbvl・jkvl〕
甬	〔用｜yssy〕
邰	〔厶阝｜tdse〕
矣	〔厶矢｜yisu〕
鸡	〔又鸟｜jiyn〕
纬	〔纟韦｜wwsw〕
纭	〔纟厶｜yyss〕
驱	〔马乂｜qumx〕
纯	〔纟屯｜iyst〕
纰	〔纟匕｜bisb・pisb〕
纱	〔纟少｜uasu〕
纲	〔纟乂｜ghsx〕
纳	〔纟内｜nasn〕
纴	〔纟壬｜rfsr〕
纵	〔纟人｜zssr〕
驳	〔马乂｜bomx〕
纶	〔纟匕｜grsb・lysb〕
纷	〔纟刀｜ffsd〕
纸	〔纟氏｜visu〕
纹	〔纟文｜wfsw〕
纺	〔纟方｜fhsf〕
纻	〔纟一｜vusa〕
驴	〔马户｜lvmh〕
纽	〔纟丑｜nqsi〕
纾	〔纟丨｜uusl〕
奉	〔寿上丨｜fgfl〕
玩	〔王儿｜wjwe〕
玮	〔王韦｜wwww〕
环	〔王不｜hrwb〕
玡	〔王牙｜yawy〕
武	〔一止｜wuav〕
青	〔月｜qkfo〕
责	〔人｜zefr〕
现	〔王见下｜xmwe〕
玫	〔王攵｜mwww〕
玠	〔王丨｜jpwl〕
玢	〔王刀｜bbwd・ffwd〕
玥	〔王月｜ytwo〕
表	〔𧘇｜bnfy〕
玦	〔王夬guài｜jtwg〕
盂	〔于皿｜yuym〕
忝	〔天｜tmtx〕
规	〔夫见下｜gvfe〕
匦	〔匚九｜gvkj〕
抹	〔扌末｜mafm・mofm〕
卦	〔土卜｜gxtb〕
邽	〔土阝｜gvte〕
坩	〔土甘｜gjtg〕
坷	〔土口｜ketk〕
坯	〔土丕pī｜pitp〕
拓	〔扌石｜tafu・tofu〕
拢	〔扌龙｜lsfl〕
拔	〔扌丶｜bafd〕
抨	〔扌平｜pgfp〕
坪	〔土平｜pktp〕
拣	〔扌丶｜jmfd〕
拤	〔扌卜｜qxfb〕
拈	〔扌口｜nmfk〕
坫	〔土口｜dmtk〕
垆	〔土尸｜lutu〕
坦	〔土一｜tjta〕
担	〔扌一｜djfa〕
坤	〔土申｜kytu〕
押	〔扌甲｜yafj〕
抻	〔扌申｜iffu〕
抽	〔扌由｜izfy〕
拐	〔扌力｜gkfl〕
拃	〔扌乍｜vafv〕
拖	〔扌也｜tofy〕
拊	〔扌寸｜fufc〕
者	〔耂日｜velo〕
拍	〔扌白｜pdfb〕
顶	〔丁人｜dkdr〕
坼	〔土斥｜ieti〕
拆	〔扌斥｜cafi・idfi〕
拎	〔扌｜lbfs〕
拥	〔扌用｜ysfy〕
抵	〔扌氐｜difd〕
坻	〔土氐｜ditd・iitd〕
拘	〔扌口｜gzfk・jufk〕
势	〔扌力｜uifl〕
抱	〔扌巳sì｜bcfs〕
拄	〔扌主｜vufv〕
垃	〔土立｜latl〕
拉	〔扌立｜lafl〕
拦	〔扌三｜ljfs〕
幸	〔土干｜xktg〕
拌	〔扌半｜bjfb・pjfb〕
拧	〔扌丁｜nkfd〕
坨	〔土匕｜totb〕
坭	〔土匕｜nitb〕
抿	〔扌民｜mbfm〕
拂	〔扌弗｜fuff〕
拙	〔扌出｜vofi〕
招	〔扌口｜vcfk〕
坡	〔土又｜poty〕
披	〔扌又｜pify〕
拨	〔扌丶｜bofd〕
择	〔扌丨｜vdfl・zefl〕
抬	〔扌口｜tdfk〕
拇	〔扌母｜mufm〕
坳	〔土力｜aotl〕
拗	〔扌力｜aofl・nqfl〕
耵	〔耳丁｜dked〕
其	〔其上八｜jiqb・qiqb〕
耶	〔耳阝｜yeee〕
取	〔耳又｜quey〕
茉	〔艹末｜mocm〕
苷	〔艹甘｜gjcg〕
苦	〔艹口｜kuck〕
苯	〔艹本｜bfcb〕
昔	〔艹日｜xico〕
苛	〔艹口｜keck〕
苤	〔艹丕pī｜ppcp〕
若	〔艹口｜rock〕
茂	〔艹戊wù｜mccw〕
茏	〔艹龙｜lscl〕
苹	〔艹平｜pgcp・pkcp〕
苫	〔艹口｜ujck〕
苴	〔艹且｜iacq・jucq〕
苜	〔艹目｜muco〕
苗	〔艹田｜mnct〕
英	〔艹央｜ykcy〕
苒	〔艹冉｜rjcr〕
苘	〔艹口｜qkck〕
茌	〔艹士｜iicu〕
苻	〔艹寸｜fucc〕
苓	〔艹｜lkcs〕
茚	〔艹卩｜ybce〕
苟	〔艹口｜gzck〕
茆	〔艹卩｜mcce〕
茑	〔艹鸟｜nncn〕
苑	〔艹フ｜yrcv〕
苞	〔艹巳sì｜bccs〕
范	〔艹フ｜fjcv〕
茓	〔艹八｜xtcb〕
茔	〔艹土｜ykct〕
茕	〔艹十｜qscu〕
直	〔十具上｜viuq〕
苠	〔艹民｜mbcm〕
茀	〔艹弗｜fucf〕
茁	〔艹出｜voci〕
茄	〔艹口｜jxck・qpck〕
苕	〔艹口｜tnck・ucck〕
茎	〔艹工｜jkcg〕
苔	〔艹口｜tdck〕
茅	〔艹ノ｜mccp〕
枉	〔木王｜whmw〕
林	〔木木｜lbmm〕
枝	〔木又｜vimy〕
杯	〔木不｜bwmb〕
枢	〔木乂｜uumx〕
枥	〔木力｜liml〕
柜	〔木巨｜gvmj・jumj〕
枇	〔木匕｜pimb〕
杪	〔木少｜mnmu〕
杳	〔木日｜ycmo〕
枘	〔木内｜rvmn〕
枧	〔木见下｜jmme〕
杵	〔木午｜iumw〕
枚	〔木攵｜mwmw〕
枨	〔木长｜igmi〕
析	〔木斤｜ximj〕
板	〔木又｜bjmy〕
枞	〔木人｜csmr・zsmr〕
松	〔木厶｜ssms〕
枪	〔木フ｜qlmv〕
枫	〔木乂｜fgmx〕
构	〔木厶｜gzms〕
杭	〔木几｜hhmj〕
枋	〔木方｜fhmf〕
杰	〔木灬｜jpmh〕
述	〔辶术｜uuzu〕
枕	〔木フ｜vfmv〕
杻	〔木丑｜nqmi・izmi〕
杷	〔木巴｜pamb〕
杼	〔木丨｜vuml〕
丧	〔十ㄟ｜shun〕
或	〔戈一｜hoga〕
画	〔一凵｜hxak〕
卧	〔臣卜｜woib〕
事	〔一丨｜uial〕
刺	〔一刂｜ciad〕
枣	〔一丶｜zcad〕
雨	〔一丶｜yuad〕
卖	〔十大｜mdud〕
矸	〔石干｜gjug〕
郁	〔阝｜yuue〕
矻	〔石乞｜kuuq〕
矾	〔石凡｜fjuf〕
矿	〔石广｜klug〕
砀	〔石ノ｜dhup〕
码	〔石马｜maum〕
厕	〔厂刂｜ceid・siid〕
奈	〔大小｜nddx〕
刳	〔大刂｜kudd〕
奔	〔大廾｜bfdc〕
奇	〔大口｜qidk・jidk〕
奄	〔大电｜yjdd〕
奋	〔大田｜ffdt〕
态	〔太心｜tdtx〕
瓯	〔匚瓦｜oukw〕
欧	〔匚人｜oukr〕
殴	〔匚又｜ouky〕
垄	〔龙土｜lslt〕
殁	〔歹又｜mody〕
郏	〔夹阝｜jxje〕
妻	〔一女｜qian〕
轰	〔车又｜hsiy〕
顷	〔比左人｜qkbr〕
转	〔车专｜vriv〕
轭	〔车フ｜eeiv〕
斩	〔车斤｜vjij〕
轮	〔车匕｜lyib〕
软	〔车人｜rrir〕
到	〔一刂｜dcad〕
郅	〔一阝｜viae〕
鸢	〔弋鸟｜yryn〕
非	〔丨一｜fwla〕
叔	〔上又｜uuuy〕
歧	〔止又｜qivy〕
肯	〔止月｜kfvo〕
齿	〔止凵｜iivk〕
些	〔止二｜sove・xpve〕
卓	〔丨十｜volu〕
虎	〔虍几｜huhj〕
虏	〔虍力｜luhl〕
肾	〔丨月｜uflo〕
贤	〔丨人｜xmlr〕
尚	〔口｜uhxk〕
盱	〔目于｜xuoy〕
旺	〔日王｜whow〕
具	〔具上八｜juqb〕
昊	〔日天｜hcot〕
昙	〔日厶｜tjos〕
果	〔丨ㄟ｜goln〕
味	〔口未｜wwkw〕
杲	〔日木｜gcom〕
昃	〔日人｜zeor〕
昆	〔日匕｜kyob〕
国	〔囗玉｜goky〕
哎	〔口乂｜aikx〕
咕	〔口口｜gukk〕
昌	〔日日｜ihoo〕
呵	〔口口｜hekk・kekk〕
咂	〔口巾｜zakj〕
畅	〔申ノ｜ihup〕
呸	〔口丕pī｜pwkp〕
昕	〔日斤｜xboj〕
明	〔日月｜mkoo〕
易	〔日勿｜yiow〕
咙	〔口龙｜lskl〕
昀	〔日冫｜yyod〕
昂	〔日卩｜ahoe〕
旻	〔日文｜mbow〕
昉	〔日方｜fhof〕
炅	〔日火｜gvoh・jsoh〕
咔	〔口卜｜kakb〕
畀	〔田丨｜bitl〕
虮	〔虫几｜jiij〕
迪	〔辶由｜dizy〕
典	〔丨八｜dmlb〕
固	〔囗口｜gukk〕
忠	〔中心｜vsvx〕
咀	〔口且｜jukq・zvkq〕
呷	〔口甲｜xxkj・gakj〕
呻	〔口申｜ufku〕
黾	〔口电｜mbkd・mgkd・mmkd〕
咒	〔口几｜vzkj〕
咋	〔口乍｜vakv・zakv・zekv〕
咐	〔口寸｜fukc〕
呱	〔口瓜｜gukg・gxkg〕
呼	〔口乎｜hukh〕
呤	〔口｜lkks〕
咚	〔口丶｜dskd〕
鸣	〔口鸟｜mkkn〕
咆	〔口巳sì｜pcks〕
咛	〔口丁｜nkkd〕
咏	〔口永｜ysky〕
呢	〔口匕｜nekb・nikb〕
咄	〔口出｜doki〕
呶	〔口又｜ncky〕
咖	〔口口｜gakk・kakk〕
呦	〔口力｜yzkl〕
咝	〔口丝｜siks〕
岵	〔山口｜huek〕
岢	〔山口｜keek〕
岸	〔山干｜aneg〕
岩	〔山石｜yjeu〕
帖	〔巾口｜tpjk〕
罗	〔罒夕｜losx〕
岿	〔山彐｜kvee〕
岬	〔山甲｜jxej〕
岫	〔山由｜xqey〕
帜	〔巾八｜vijb〕
帙	〔巾失｜viju〕
帕	〔巾白｜pajb〕
岭	〔山｜lkes〕
岣	〔山口｜gzek〕
峁	〔山卩｜mcee〕
刿	〔山刂｜gved〕
峂	〔山丶｜tsed〕
迥	〔辶口｜jszk〕
岷	〔山民｜mbem〕
剀	〔山刂｜kded〕
凯	〔山几｜kdej〕
帔	〔巾又｜pwjy〕
峄	〔山丨｜yiel〕
沓	〔水日｜dauo・tauo〕
败	〔冂攵｜bdkw〕
账	〔冂长｜vhki〕
贩	〔冂又｜fjky〕
贬	〔冂乏｜bmkf〕
购	〔冂厶｜gzks〕
贮	〔冂一｜vuka〕
囹	〔囗｜lkks〕
图	〔囗丶｜tukd〕
罔	〔冂亡｜whkw〕
钍	〔钅土｜tujt〕
钎	〔钅千｜qmjq〕
钏	〔钅川｜irji〕
钐	〔钅ノ｜ujjp〕
钓	〔钅勺｜dnju〕
钒	〔钅凡｜fjjf〕
钔	〔钅门｜mfjm〕
钕	〔钅女｜nvjn〕
钗	〔钅叉｜idji〕
邾	〔朱阝｜vuve〕
制	〔ノ刂｜vipd〕
知	〔矢口｜viuk〕
迭	〔辶失｜dpzu〕
氛	〔气刀｜ffqd〕
迮	〔辶乍｜zezv〕
垂	〔ノ一｜ivpa〕
牦	〔牛毛｜mcnm〕
牧	〔牛攵｜munw〕
物	〔牛勿｜wunw〕
乖	〔千匕｜gkqb〕
刮	〔千刂｜gxqd〕
秆	〔禾干｜gjhg〕
和	〔禾口｜hehk・hohk・huhk〕
季	〔禾子｜jihz〕
委	〔禾女｜wwhn〕
竺	〔二｜vuve〕
秉	〔ノㄟ｜bkpn〕
迤	〔辶也｜yizy〕
佳	〔亻土｜jxrt〕
侍	〔亻寸｜uirc〕
佶	〔亻口｜jirk〕
岳	〔丘山｜ytqe〕
佬	〔亻匕｜lcrb〕
佴	〔亻耳｜erre・ndre〕
供	〔亻八｜gsrb〕
使	〔亻吏｜uirl〕
侑	〔亻月｜yzro〕
佰	〔亻百｜bdrb〕
侉	〔亻亏｜kxrk〕
例	〔亻刂｜lird〕
侠	〔亻夹｜xxrj〕
臾	〔ノㄟ｜yupn〕
侥	〔亻兀｜jnrw・ycrw〕
版	〔片又｜bjpy〕
侄	〔亻土｜virt〕
岱	〔亻山｜ddre〕
侦	〔亻人｜vfrr〕
侣	〔亻口｜lvrk〕
侗	〔亻口｜dsrk・tsrk〕
侃	〔亻フ｜kjrv〕
侧	〔亻刂｜cerd・vdrd〕
侏	〔亻朱｜vurv〕
凭	〔亻几｜pkrj〕
侨	〔亻丨｜qnrl〕
侩	〔亻厶｜kkrs〕
佻	〔亻丶｜tnrd〕
佾	〔亻月｜yiro〕
佩	〔亻巾｜pwrj〕
货	〔亻人｜horr〕
侈	〔亻夕｜iirx〕
侪	〔亻丨｜idrl〕
佼	〔亻乂｜jnrx〕
依	〔亻𧘇｜yiry〕
佯	〔亻羊｜yhry〕
侬	〔亻农｜nsrn〕
帛	〔白巾｜bobj〕
卑	〔ノ十｜bwpu〕
的	〔白勺｜debu・dibu〕
迫	〔辶白｜pdzb・pozb〕
阜	〔ノ十｜fupu〕
侔	〔亻牛｜mzrn〕
质	〔ノ人｜vipr〕
欣	〔斤人｜xbjr〕
郈	〔ノ阝｜hzpe〕
